Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,946.646413060374,649.991845405048,1314.70601531227,1285.26172565588,1403.2556380893,1354.62308705136,1465.2223269067,1540.56818173347,1326.96927718029,1363.40385121739,1421.58749243688,1526.87571339209
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21448.3619600057,24190.2496150045,40773.061528975,47450.3184700703,52101.7960864825,52542.3466648232,52504.655704109,50835.5111782446,43495.0543869902,42279.9008231637,45069.9272544324,46124.6651607388
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,56334.2139924148,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,513.305284957779,251.206877406698,474.705408664923,487.945383289614,551.028057642347,565.833058388175,382.340300200927,426.684562137769,380.404293450491,406.531961071263,471.603227780125,509.970974805014
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,291.553259539311,165.762986567833,800.464224935635,891.698817391114,983.447232667423,967.408125988873,979.533959184118,1018.93095594774,775.707523514754,692.978595813865,664.303315726258,730.244607565426
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,43381.6578397785,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2494.52566886254,5074.90162375009,10208.9067622861,12808.034586422,14637.2402355403,15351.5513257697,15842.9400901334,14670.9971754461,13574.1715039612,13748.0883953109,15037.3501089968,15923.3590619893
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673040928,959.372483639691,3832.23595156727,4550.45359583857,5618.13249134962,6316.91886335683,7050.64591988963,7651.36604428568,8033.38804310679,8078.79047437238,8759.04157775098,9770.84708783314
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1445.32836826111,2520.48089795902,5195.39337583111,6326.54946861963,7324.3832858034,8042.52976902978,8212.66782924683,8114.08426438361,6175.87602970259,5871.22352385952,6375.93206285311,6651.29129267621
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1043.8008030813,645.818690802056,1339.33719065958,1315.21480648394,1446.06801802192,1403.42851892157,1504.92085930273,1511.81608327254,1271.05704163196,1287.42096530395,1312.36617372154,1445.45080869998
